,NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,FID,IUID,pollutant,year,sector,emis
900,DED2F,3,DE,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,4.0,1,3,DED2F,900,NO2,2017,ALL,100664.89965867996
952,DEG02,3,DE,"Gera, Kreisfreie Stadt","Gera, Kreisfreie Stadt",4.0,2,3,DEG02,952,NO2,2017,ALL,
964,CZ072,3,CZ,Zlínský kraj,Zlínský kraj,2.0,2,3,CZ072,964,NO2,2017,ALL,35728028.33652878
981,DED41,3,DE,"Chemnitz, Kreisfreie Stadt","Chemnitz, Kreisfreie Stadt",4.0,2,3,DED41,981,NO2,2017,ALL,
986,DED42,3,DE,Erzgebirgskreis,Erzgebirgskreis,3.0,2,3,DED42,986,NO2,2017,ALL,78244.80806422234
987,DED43,3,DE,Mittelsachsen,Mittelsachsen,4.0,2,3,DED43,987,NO2,2017,ALL,11375.05035448074
1037,DED44,3,DE,Vogtlandkreis,Vogtlandkreis,4.0,2,3,DED44,1037,NO2,2017,ALL,66858.41126060486
1038,CZ080,3,CZ,Moravskoslezský kraj,Moravskoslezský kraj,4.0,2,3,CZ080,1038,NO2,2017,ALL,56458120.53425407
1070,DED45,3,DE,Zwickau,Zwickau,4.0,2,3,DED45,1070,NO2,2017,ALL,
1151,CZ053,3,CZ,Pardubický kraj,Pardubický kraj,4.0,3,3,CZ053,1151,NO2,2017,ALL,39947075.88285422
1252,DEG0L,3,DE,Greiz,Greiz,4.0,2,3,DEG0L,1252,NO2,2017,ALL,
1253,DEG0M,3,DE,Altenburger Land,Altenburger Land,4.0,2,3,DEG0M,1253,NO2,2017,ALL,
1290,PL514,3,PL,Miasto Wrocław,Miasto Wrocław,4.0,1,3,PL514,1290,NO2,2017,ALL,
1307,PL518,3,PL,Wrocławski,Wrocławski,4.0,2,3,PL518,1307,NO2,2017,ALL,
1506,PL524,3,PL,Opolski,Opolski,4.0,2,3,PL524,1506,NO2,2017,ALL,
1539,PL523,3,PL,Nyski,Nyski,4.0,3,3,PL523,1539,NO2,2017,ALL,232530.30593442917
1563,PL515,3,PL,Jeleniogórski,Jeleniogórski,4.0,2,3,PL515,1563,NO2,2017,ALL,247970.45722723007
1608,PL22C,3,PL,Tyski,Tyski,4.0,1,3,PL22C,1608,NO2,2017,ALL,
1622,PL228,3,PL,Bytomski,Bytomski,4.0,1,3,PL228,1622,NO2,2017,ALL,
1623,PL229,3,PL,Gliwicki,Gliwicki,4.0,1,3,PL229,1623,NO2,2017,ALL,
1624,PL22A,3,PL,Katowicki,Katowicki,4.0,1,3,PL22A,1624,NO2,2017,ALL,
1628,PL517,3,PL,Wałbrzyski,Wałbrzyski,3.0,2,3,PL517,1628,NO2,2017,ALL,209099.2102408409
1654,PL224,3,PL,Częstochowski,Częstochowski,4.0,2,3,PL224,1654,NO2,2017,ALL,
1661,PL225,3,PL,Bielski,Bielski,3.0,2,3,PL225,1661,NO2,2017,ALL,153882.01202487946
1662,PL227,3,PL,Rybnicki,Rybnicki,4.0,1,3,PL227,1662,NO2,2017,ALL,126117.16596031188
1725,SK032,3,SK,Banskobystrický kraj,Banskobystrický kraj,3.0,3,3,SK032,1725,NO2,2017,ALL,
1878,SK022,3,SK,Trenčiansky kraj,Trenčiansky kraj,2.0,2,3,SK022,1878,NO2,2017,ALL,124432.93308877943
1886,SK010,3,SK,Bratislavský kraj,Bratislavský kraj,4.0,1,3,SK010,1886,NO2,2017,ALL,
1891,SK031,3,SK,Žilinský kraj,Žilinský kraj,3.0,2,3,SK031,1891,NO2,2017,ALL,44619.65451574326
1920,SK021,3,SK,Trnavský kraj,Trnavský kraj,4.0,3,3,SK021,1920,NO2,2017,ALL,72266.59287500381
1941,SK023,3,SK,Nitriansky kraj,Nitriansky kraj,4.0,2,3,SK023,1941,NO2,2017,ALL,
